employee_id,employee_name,pay_period_start,pay_period_end,component,amount,hours
E01,Alex Nguyen,2026-03-01,2026-03-14,meal_allowance,35.00,
E01,Alex Nguyen,2026-03-01,2026-03-14,ordinary,2303.02,
E01,Alex Nguyen,2026-03-01,2026-03-14,superannuation,284.92,
E01,Alex Nguyen,2026-03-15,2026-03-28,meal_allowance,17.50,
E01,Alex Nguyen,2026-03-15,2026-03-28,ordinary,2299.96,
E01,Alex Nguyen,2026-03-15,2026-03-28,overtime,87.28,
E01,Alex Nguyen,2026-03-15,2026-03-28,superannuation,274.53,
E06,Chris Taylor,2026-03-01,2026-03-14,meal_allowance,17.50,
E06,Chris Taylor,2026-03-01,2026-03-14,ordinary,2299.96,
E06,Chris Taylor,2026-03-01,2026-03-14,overtime,87.28,
E06,Chris Taylor,2026-03-01,2026-03-14,superannuation,274.53,
E06,Chris Taylor,2026-03-15,2026-03-28,meal_allowance,35.00,
E06,Chris Taylor,2026-03-15,2026-03-28,ordinary,2303.02,
E06,Chris Taylor,2026-03-15,2026-03-28,overtime,174.56,
E06,Chris Taylor,2026-03-15,2026-03-28,superannuation,284.92,
E07,Dana Kim,2026-03-01,2026-03-14,meal_allowance,35.00,
E07,Dana Kim,2026-03-01,2026-03-14,ordinary,2453.42,
E07,Dana Kim,2026-03-01,2026-03-14,overtime,185.96,
E07,Dana Kim,2026-03-01,2026-03-14,superannuation,323.53,
E07,Dana Kim,2026-03-15,2026-03-28,meal_allowance,17.50,
E07,Dana Kim,2026-03-15,2026-03-28,ordinary,2450.16,
E07,Dana Kim,2026-03-15,2026-03-28,overtime,92.98,
E07,Dana Kim,2026-03-15,2026-03-28,superannuation,292.46,
E04,Jo Park,2026-03-01,2026-03-14,meal_allowance,35.00,
E04,Jo Park,2026-03-01,2026-03-14,ordinary,2303.02,
E04,Jo Park,2026-03-01,2026-03-14,overtime,174.56,
E04,Jo Park,2026-03-01,2026-03-14,saturday_penalty,183.75,
E04,Jo Park,2026-03-01,2026-03-14,superannuation,311.34,
E04,Jo Park,2026-03-15,2026-03-28,meal_allowance,17.50,
E04,Jo Park,2026-03-15,2026-03-28,ordinary,2299.96,
E04,Jo Park,2026-03-15,2026-03-28,overtime,87.28,
E04,Jo Park,2026-03-15,2026-03-28,saturday_penalty,229.69,
E04,Jo Park,2026-03-15,2026-03-28,superannuation,300.95,
E08,Liam Chen,2026-03-01,2026-03-14,meal_allowance,35.00,
E08,Liam Chen,2026-03-01,2026-03-14,ordinary,2303.02,
E08,Liam Chen,2026-03-01,2026-03-14,overtime,174.56,
E08,Liam Chen,2026-03-01,2026-03-14,saturday_penalty,229.69,
E08,Liam Chen,2026-03-01,2026-03-14,superannuation,311.34,
E08,Liam Chen,2026-03-15,2026-03-28,meal_allowance,35.00,
E08,Liam Chen,2026-03-15,2026-03-28,ordinary,2303.02,
E08,Liam Chen,2026-03-15,2026-03-28,overtime,174.56,
E08,Liam Chen,2026-03-15,2026-03-28,saturday_penalty,229.69,
E08,Liam Chen,2026-03-15,2026-03-28,superannuation,311.34,
E05,Maria Silva,2026-03-01,2026-03-14,meal_allowance,35.00,
E05,Maria Silva,2026-03-01,2026-03-14,ordinary,2453.42,
E05,Maria Silva,2026-03-01,2026-03-14,overtime,185.96,
E05,Maria Silva,2026-03-01,2026-03-14,superannuation,303.53,
E05,Maria Silva,2026-03-15,2026-03-28,meal_allowance,35.00,
E05,Maria Silva,2026-03-15,2026-03-28,ordinary,2403.42,
E05,Maria Silva,2026-03-15,2026-03-28,overtime,185.96,
E05,Maria Silva,2026-03-15,2026-03-28,superannuation,303.53,
E02,Priya Singh,2026-03-01,2026-03-14,meal_allowance,35.00,
E02,Priya Singh,2026-03-01,2026-03-14,ordinary,2303.02,
E02,Priya Singh,2026-03-01,2026-03-14,overtime,174.56,
E02,Priya Singh,2026-03-01,2026-03-14,superannuation,284.92,
E02,Priya Singh,2026-03-15,2026-03-28,meal_allowance,35.00,
E02,Priya Singh,2026-03-15,2026-03-28,ordinary,2318.02,
E02,Priya Singh,2026-03-15,2026-03-28,overtime,174.56,
E02,Priya Singh,2026-03-15,2026-03-28,superannuation,284.92,
E03,Sam Lee,2026-03-01,2026-03-14,meal_allowance,17.50,
E03,Sam Lee,2026-03-01,2026-03-14,ordinary,2450.16,
E03,Sam Lee,2026-03-01,2026-03-14,overtime,92.98,
E03,Sam Lee,2026-03-01,2026-03-14,superannuation,292.46,
E03,Sam Lee,2026-03-15,2026-03-28,meal_allowance,35.00,
E03,Sam Lee,2026-03-15,2026-03-28,ordinary,2453.42,
E03,Sam Lee,2026-03-15,2026-03-28,overtime,185.96,
E03,Sam Lee,2026-03-15,2026-03-28,superannuation,303.53,
